Sample,LOH:1p31.1-1p22.3,LOH:1q42.12-1q42.13,LOH:2q14.3-2q23.3,LOH:5q11.1-5q14.1,LOH:5q15-5q23.1,LOH:6q12-6q22.32,LOH:8p,LOH:10q23.1-10q25,LOH:12p13.32-12p12.3,LOH:13q12.3-13q21.1,LOH:13q21.1-13q33.1,LOH:16q12.1-16q24.3,LOH:17p,LOH:18q,LOH19p13.3-19p13.2,LOH:21q22.2-21q22.3,LOH:22q11.21-22q11.22,GAIN:3q21.2-3q29,GAIN: Whole Chr 7,GAIN: 8p23.3-8p22,GAIN:8q,GAIN: 9q12-9q21.11,GAIN: Whole Chr 19,GAIN: 22q.11.1-22q11.23,HD:10q23.1-10q25.1,ETS,SPOP,indels,PGA clonal,PGA subclonal,Ploidy,Intra/inter,Number of bkpts,Chromothripsis,Kataegis,AR_group,Obs_Sim_prop,del_bridges
PD12806,0,1,0,1,0,0.327463245,1,0,0,0.802155647,0.802155647,0.788865157,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,485,8.090154375,0.236661547,0,0.24,118,0,0,2,0.055555556,4
PD12807,0,0,0.772540504,0.218072051,1,1,0,1,0,1,0.771890463,0,0,0,0,0,0,0.071515473,0,0,0,0,0,0,0,0,0,332,3.317697544,0.03241923,0,0,44,0,1,3,-0.208333333,2
PD12808,0,0,0.517039311,0.243224301,0,0,1,0.591487271,0,1,1,1,0,0,0,1,0,0.083710843,0,0,1,0,0,0,0.880472133,1,0,460,9.643967066,0.184829641,0,0.12,86,0,1,2,0.025316456,0
PD12809,0,0,0,1,1,1,0.849742512,0,0,0,0,0,0,1,0,0,0,0,0.721434129,0,0.826722716,0,0,0,0,0,1,593,3.488514062,0.180023169,0,0.03,90,0,0,3,-0.098290598,0
PD12810,0,0,1,0,0,1,1,0,0.426200809,1,1,1,0,1,0,0,0,0,0,0.084471838,0,0,0,0,0,0,0,430,5.432547935,0.009809946,0,0.03,76,0,1,3,-0.308641975,1
PD12811,0,1,1,1,1,1,1,0.150197742,0,1,1,1,0,0.726785367,0,0,0,0.090716565,0.107064532,0,0.218889236,0,0,0,0,0,1,593,9.650548326,0.098304017,0,0.07,148,1,1,3,-0.178132678,2
PD12812,0,0,0,0,0.324123767,1,0.160165569,0,0,1,1,0.233430385,0.258908556,0,0,0,0,1,0.239071272,0,1,0.270912781,0,0,0,0,0,655,11.43734305,0.203712658,0,0.22,62,0,0,1,0.201923077,0
PD12813,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,378,5.520845562,0.038559792,0,0.36,34,0,0,1,0.193181818,1
PD12814,0,0,0,0,0,1,0,0.157965305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,651,1.455461427,0.002722207,0,0.11,20,0,0,2,0.017857143,2
PD12815,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62683995,1,1,0,0,0,0,185,1.164159408,0.003896261,0,0.1,132,0,1,3,-0.15625,2
PD12816,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,252,12.37262443,0.117695656,1,-99,-99,0,0,2,0.181818182,-99
PD12817,0,0,1,0.619445356,1,1,0,0,1,1,1,0,0,1,0,0,0,0.620950877,1,1,1,1,0,0,0,0,0,554,11.06616865,0.205371637,0,0.01,86,1,1,3,-0.185294118,2
PD12818,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,239,7.301370354,0.011308504,0,0.25,10,0,0,2,0.071428571,2
PD12820,0,0,0,0,1,1,0.503981314,0,0,0,0,0.45626354,0,0,0,0,0,0,0,0,1,0.558903525,0,0,0,1,0,378,3.02538487,0.081216759,0,0.28,46,0,0,1,0.121212121,1
PD12821,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,365,4.75252957,0.002795966,0,0.47,112,0,0,2,0.057471264,11
PD12824,0,1,0,0,1,1,0.444570979,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,401,30.1496381,0.180858168,0,0.07,114,0,1,3,-0.162280702,5
PD12825,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,214,4.793843405,0.020667845,0,0.09,12,0,0,2,0.15625,0
PD12828,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,511,29.03167412,0.288870551,1,0.39,50,0,1,2,0.081818182,1
